127.0.0.1 - - [01/Jun/2023:10:01:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:01:29 +0900] "GET /jsp_study/ch06/jspTotal.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:01:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:13:11 +0900] "GET /jsp_study/ch06/calcform.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:13:18 +0900] "POST /jsp_study/ch06/calc.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:13:34 +0900] "POST /jsp_study/ch06/calc.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:19:46 +0900] "GET /jsp_study/ch06/importExample.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:39:10 +0900] "GET /jsp_study/ch06/declaration.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:44:23 +0900] "GET /jsp_study/ch06/scriptlet.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:44:43 +0900] "GET /jsp_study/ch06/scriptlet.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:46:12 +0900] "GET /jsp_study/ch06/scriptlet.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:53:11 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:02:56 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:02:58 +0900] "GET /login.jsp?id=&pw= HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:03:02 +0900] "GET /login.jsp?id=&pw= HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:04:13 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:04:15 +0900] "POST /jsp_study/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:05:27 +0900] "POST /jsp_study/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:05:36 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:05:43 +0900] "POST /jsp_study/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:10:14 +0900] "GET /jsp_study/ch06/expression.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:10:47 +0900] "GET /jsp_study/ch06/expression.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:11:24 +0900] "GET /jsp_study/ch06/expression.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:14:35 +0900] "GET /jsp_study/ch06/scriptlet.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:14:50 +0900] "GET /jsp_study/ch06/expression.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:19:25 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:19:30 +0900] "POST /jsp_study/ch06/login.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:19:38 +0900] "POST /jsp_study/ch06/login.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:21:10 +0900] "GET /jsp_study/ch06/expression.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:26:40 +0900] "GET /jsp_study/ch06/declaration.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:44:04 +0900] "GET /jsp_study/ch06/loginForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:53:35 +0900] "GET /jsp_study/ch07/main.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:53:50 +0900] "GET /jsp_study/ch07/header.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:53:56 +0900] "GET /jsp_study/ch07/main.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [01/Jun/2023:11:55:09 +0900] "GET /jsp_study/ch07/main.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:06:01 +0900] "GET /jsp_study/ch07/forwardRedirect.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:11:17 +0900] "GET /jsp_study/ch07/forwardRedirect.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:11:28 +0900] "POST /jsp_study/ch07/forward_action.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:17:12 +0900] "GET /jsp_study/ch07/forwardRedirect.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:17:31 +0900] "POST /jsp_study/ch07/response_sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:17:31 +0900] "GET /jsp_study/ch07/page_control_end.jsp HTTP/1.1" 200 188
